delivery_id,pickup_lat,pickup_lon,pickup_zipcode,dropoff_lat,dropoff_lon,dropoff_zipcode
1275149.0,40.7459631081,-74.0016972918,10011,40.757001,-73.9945429,10018
1479832.0,40.723096,-73.995774,10012,40.727405,-73.991802,10003
1407296.0,40.7621564557,-73.9660917975,10022,40.7677253,-73.9915642,10019
1418789.0,40.7544649092,-73.9731456986,10017,40.7646027343,-73.9801048085,10019
1293078.0,40.7156404717,-74.0123535504,10007,40.711021508,-74.0056841448,10038
1365600.0,40.721323187,-74.009732008,10013,40.7246814,-73.9954465,10012
1473172.0,40.740761,-74.001793,10011,40.7332693,-74.0021511,10014
1295658.0,40.7606544362,-73.9895827526,10036,40.7951002,-73.9655589,10025
1349714.0,40.7714912475,-73.9563341451,10075,40.770701,-73.9808519,10023
1366229.0,40.7840772564,-73.9776224098,10024,40.7693655,-73.9896563,10019
1356397.0,40.7618366806,-73.9604037201,10065,40.737565,-74.00886,10014
1467764.0,40.721323187,-74.009732008,10013,40.7204777,-74.0022118,10013
1407878.0,40.7452993126,-73.9791375808,10016,40.7557918,-73.9702492,10022
1302758.0,40.771393,-73.952761,10075,40.7560235,-73.9639961,10022
1448376.0,40.770674226,-73.9661147561,10021,40.7731091,-73.9592289,10075
1328988.0,40.7246345744,-73.9984023571,10012,40.7435682,-73.9724053,10016
1386459.0,40.733012218,-74.000056049,10014,40.732486,-73.996585,10011
1362953.0,40.7455111365,-73.9776051919,10016,40.7644118,-73.9639728,10065
1272470.0,40.720373,-73.994918,10012,40.7181299,-74.002629,10013
1367807.0,40.7714912475,-73.9563341451,10075,40.7638848,-73.9707834,10022
1441866.0,40.7444892784,-73.9813220501,10016,40.7720342,-73.9814275,10023
1302574.0,40.7871496009,-73.9717223122,10024,40.780052,-73.956166,10028
1456246.0,40.7876131096,-73.9771230895,10024,40.756804,-73.9981532,10018
1413712.0,40.7450785894,-73.9888215065,10001,40.7589426,-73.9793564,10111
1309233.0,40.7228416988,-73.994116469,10012,40.737149,-73.979189,10010
1294826.0,40.72434,-73.99096,10003,40.7410476,-73.984867,10010
1302571.0,40.78424996,-73.9777600765,10024,40.8010649,-73.9480097,10026
1299559.0,40.6921464118,-73.9888653826,11201,40.7019719134,-73.9870363561,11201
1338571.0,40.7284782636,-73.9983918374,10012,40.721723,-74.004688,10013
1461185.0,40.7808257732,-73.976483345,10024,40.7894893,-73.9749716,10024
1461620.0,40.730340182,-73.9839935303,10003,40.740336,-73.999214,10011
1456176.0,40.74962,-73.991615,10001,40.7590307,-73.9945665,10036
1416029.0,40.7219525594,-73.9977370006,10012,40.7187606796,-74.002535891,10013
1312768.0,40.7450785894,-73.9888215065,10001,40.7505338,-73.9826458,10016
1383208.0,40.7628577636,-73.9716190015,10022,40.771893,-73.9596197,10021
1396474.0,40.7317954706,-73.9856725931,10003,40.7529884,-74.0036598,10001
1369037.0,40.7342138549,-74.0062020293,10014,40.737424,-74.00272,10014
1431957.0,40.720072628,-74.0103680997,10013,40.725517,-74.010013,10013
1345722.0,40.7423340017,-73.9838551958,10016,40.7382555,-74.0059417,10014
1453557.0,40.7615390517,-73.9851464935,10019,40.7611004452,-73.9992188724,10036
1342022.0,40.7716864336,-73.982305627,10023,40.785891,-73.971508,10024
1391093.0,40.771568712,-73.9527868292,10075,40.7855606,-73.9546989,10128
1387788.0,40.723096,-73.995774,10012,40.7247884,-73.9807206,10009
1476006.0,40.7231283099,-74.0020608902,10012,40.7236764,-74.0107235,10013
1379095.0,40.7300149734,-73.9915037155,10003,40.727405,-73.991802,10003
1303141.0,40.7760831939,-73.9621715765,10075,40.7686246,-73.9536339,10021
1286495.0,40.718025,-73.98977,10002,40.7190249718,-73.9998217559,10013
1358636.0,40.7527676038,-73.9849376678,10018,40.76745,-73.992028,10019
1401471.0,40.7261096571,-74.0024918632,10012,40.7167197,-74.0122998,10007
1313519.0,40.7408835387,-74.007034103,10014,40.747129,-74.004275,10011
1368417.0,40.7760831939,-73.9621715765,10075,40.8035179,-73.964404,10025
1337479.0,40.7462790633,-73.9979499581,10001,40.7444089,-73.9802622,10016
1456489.0,40.7264131828,-73.9938211441,10012,40.7268586,-73.9959607,10012
1313148.0,40.7459631081,-74.0016972918,10011,40.741815,-73.992895,10010
1480991.0,40.7628577636,-73.9716190015,10022,40.7735382,-73.9621981,10021
1381837.0,40.7431927757,-73.9889931679,10010,40.7797171,-73.9876508,10069
1285111.0,40.72434,-73.99096,10003,40.76733,-73.98945,10019
1393105.0,40.7725585383,-73.9651677116,10021,40.7661653,-73.957714,10021
1299332.0,40.7223070664,-73.987351656,10002,40.73034,-73.994749,10003
1415981.0,40.7219795797,-73.9881482142,10002,40.74058,-74.001899,10011
1439953.0,40.7261096571,-74.0024918632,10012,40.7810682,-73.9519127,10128
1490466.0,40.753815216,-73.9837691089,10018,40.7641978187,-73.9581154174,10065
1477058.0,40.7220793931,-73.9975118637,10012,40.7394618,-73.9925543,10011
1481173.0,40.7336337818,-73.9877692361,10003,40.714762042,-74.0070231853,10007
1322798.0,40.723955,-73.991829,10002,40.7236373,-73.9850024,10009
1288233.0,40.7714912475,-73.9563341451,10075,40.7793770632,-73.9540180272,10028
1461066.0,40.7606544362,-73.9895827526,10036,40.743701,-73.987386,10010
1446099.0,40.7791260657,-73.9549048946,10028,40.7824428,-73.9721125,10024
1410873.0,40.764217,-73.988321,10019,40.7676847,-73.9835946,10019
1332439.0,40.72681,-73.985329,10009,40.7342369,-73.9832243,10003
1340289.0,40.7606544362,-73.9895827526,10036,40.743701,-73.987386,10010
1368346.0,40.723019825,-73.995854,10012,40.72947,-73.984804,10003
1307724.0,40.7199660176,-74.0085433032,10013,40.7171949,-74.0051122,10013
1348757.0,40.775764315,-73.9802062511,10023,40.7890183,-73.9755988,10024
1435550.0,40.72813,-73.98202,10009,40.7692256,-73.9583807,10021
1465231.0,40.7719618745,-73.9826202393,10023,40.7654964,-73.9631442,10065
1302510.0,40.723019825,-73.995854,10012,40.7894893,-73.9749716,10024
1398111.0,40.7329359021,-73.9864435217,10003,40.748977674,-73.9901924628,10001
1301872.0,40.7342138549,-74.0062020293,10014,40.7476322,-74.0062985,10011
1334744.0,40.7665964262,-73.9820071901,10019,40.777594,-73.961681,10028
1332526.0,40.7152793278,-74.0148603916,10282,40.7245199,-73.9934202,10012
1275403.0,40.7239251504,-73.9969110489,10012,40.7273500819,-73.9918810004,10003
1366096.0,40.727293,-73.984517,10009,40.7247342635,-73.9811569267,10009
1314681.0,40.7676529121,-73.982925456,10019,40.7714370639,-73.9893168252,10019
1309812.0,40.764217,-73.988321,10019,40.748328,-73.99018,10001
1421807.0,40.7714912475,-73.9563341451,10075,40.774491,-73.962489,10075
1442149.0,40.7317954706,-73.9856725931,10003,40.7400955,-73.9821673,10010
1353896.0,40.723576,-73.996316,10012,40.7562334,-73.9861529,10036
1435705.0,40.7450785894,-73.9888215065,10001,40.7506213,-73.9862915,10018
1435378.0,40.7445639163,-73.9966300529,10011,40.7051418,-74.0069548,10005
1309357.0,40.7606544362,-73.9895827526,10036,40.7513357548,-74.0037657051,10001
1323121.0,40.7851600433,-73.9769164738,10024,40.762309,-73.9739779,10022
1355059.0,40.7799300938,-73.9803349972,10023,40.757416,-73.965433,10022
1450877.0,40.735725,-73.9871264666,10003,40.8051365506,-73.9628453673,10025
1342659.0,40.723019825,-73.995854,10012,40.742561,-73.992267,10010
1463222.0,40.7640758303,-73.9786325252,10019,40.752579,-73.967524,10017
1476970.0,40.7317954706,-73.9856725931,10003,40.7357323718,-73.9937847301,10003
1332526.0,40.7152793278,-74.0148603916,10282,40.7245199,-73.9934202,10012
1302958.0,40.7628577636,-73.9716190015,10022,40.7749754297,-73.9647543064,10075
1439941.0,40.7821167,-73.9807391,10024,40.7680343061,-73.9575778998,10021
1340047.0,40.7430110074,-73.9910461791,10010,40.778028,-73.953851,10028
1410187.0,40.7473841916,-74.0009668704,10011,40.7518109,-74.0018238,10001
1425958.0,40.7317954706,-73.9856725931,10003,40.7299536,-73.9863498,10003
1310141.0,40.7237027125,-73.9963431157,10012,40.7235721692,-74.010858124,10013
1319890.0,40.72254287,-73.9977693558,10012,40.7246503186,-74.0078674473,10013
1423492.0,40.7336337818,-73.9877692361,10003,40.7319925168,-73.9795484959,10009
1339398.0,40.72254287,-73.9977693558,10012,40.7200816,-74.0060456,10013
1286240.0,40.7848216684,-73.9796986205,10024,40.7890885977,-73.9670005478,10025
1336330.0,40.7334022833,-73.9875109807,10003,40.7143118885,-74.0076870836,10007
1441676.0,40.7297909,-74.0005893,10012,40.7209562733,-73.9992813497,10013
1400631.0,40.7369149171,-73.9961422595,10011,40.7396369,-73.9996282,10011
1285292.0,40.735676762,-73.9938295281,10003,40.720116,-73.999297,10013
1324233.0,40.7213537497,-73.997525294,10012,40.729262,-74.002658,10014
1486133.0,40.725948025,-74.0011062165,10012,40.7217556,-74.0040349,10013
1308803.0,40.7354213586,-73.9913749695,10003,40.7393003,-73.9894181,10010
1274975.0,40.7200415289,-74.0085318264,10013,40.73812,-74.002554,10014
1369759.0,40.7342138549,-74.0062020293,10014,40.7324282,-74.0080594,10014
1341064.0,40.7337872945,-73.9930352569,10003,40.7365268,-73.9815019,10010
1413866.0,40.735725,-73.9871264666,10003,40.7424033,-73.9864666,10010
1454328.0,40.7146383077,-74.0083361349,10007,40.7300681,-73.9935436,10003
1319971.0,40.74174,-73.99365,10010,40.7369709,-73.985844,10003
1289129.0,40.723019825,-73.995854,10012,40.7208661818,-74.0017287405,10013
1472957.0,40.721323187,-74.009732008,10013,40.7261419308,-74.0054845803,10013
1293026.0,40.7845736651,-73.9770562614,10024,40.7704996,-73.9815465,10023
1464729.0,40.75928419,-73.9805437361,10111,40.7448454262,-73.9764924438,10016
1488424.0,40.7213883275,-73.9886587795,10002,40.7352877,-73.9806168,10003
1391004.0,40.7291104035,-73.9842454556,10003,40.728556,-73.98068,10009
1413346.0,40.7355189134,-73.9795303345,10010,40.7425062,-73.9925644,10010
